pt_in_time,Number_of_listings,Year,Month,YYYYMM,Date
20150504,5425,2015,5,201505,5/4/2015
20150902,6361,2015,9,201509,9/2/2015
20151101,7029,2015,11,201511,11/1/2015
20151202,7165,2015,12,201512,12/2/2015
20160202,8299,2016,2,201602,2/2/2016
20160403,8012,2016,4,201604,4/3/2016
20160502,8086,2016,5,201605,5/2/2016
20160602,8440,2016,6,201606,6/2/2016
20160702,8619,2016,7,201607,7/2/2016
20160802,8610,2016,8,201608,8/2/2016
20160902,8665,2016,9,201609,9/2/2016
20161001,8759,2016,10,201610,10/1/2016
20161102,8864,2016,11,201611,11/2/2016
20161203,9066,2016,12,201612,12/3/2016
20170101,9035,2017,1,201701,1/1/2017
20170202,8777,2017,2,201702,2/2/2017
20170302,8720,2017,3,201703,3/2/2017
20170402,8706,2017,4,201704,4/2/2017
20170502,8770,2017,5,201705,5/2/2017
20170602,8799,2017,6,201706,6/2/2017
20170702,8855,2017,7,201707,7/2/2017
20170802,9057,2017,8,201708,8/2/2017
20170902,8529,2017,9,201709,9/2/2017
20171002,8933,2017,10,201710,10/2/2017
20171101,8929,2017,11,201711,11/1/2017
20171108,6866,2017,11,201711,11/8/2017
20171202,6940,2017,12,201712,12/2/2017
20171207,6650,2017,12,201712,12/7/2017
20180110,6506,2018,1,201801,1/10/2018
20180117,5224,2018,1,201801,1/17/2018
20180202,4727,2018,2,201802,2/2/2018
20180304,4804,2018,3,201803,3/4/2018
20180406,4844,2018,4,201804,4/6/2018
20180509,4774,2018,5,201805,5/9/2018
20180705,4693,2018,7,201807,7/5/2018
20180806,6633,2018,8,201808,8/6/2018
20180908,6529,2018,9,201809,9/8/2018
20181003,6807,2018,10,201810,10/3/2018
20181103,6981,2018,11,201811,11/3/2018
20181206,7072,2018,12,201812,12/6/2018
20190109,7251,2019,1,201901,1/9/2019
20190201,7198,2019,2,201902,2/1/2019
20190306,7151,2019,3,201903,3/6/2019
20190403,7277,2019,4,201904,4/3/2019
20190503,7353,2019,5,201905,5/3/2019
20190602,7575,2019,6,201906,6/2/2019
20190708,7738,2019,7,201907,7/8/2019
20190806,7833,2019,8,201908,8/6/2019
20190912,7933,2019,9,201909,9/12/2019
20191014,8111,2019,10,201910,10/14/2019
20191101,8307,2019,11,201911,11/1/2019
20191204,8533,2019,12,201912,12/4/2019
20200102,8625,2020,1,202001,1/2/2020
20200104,8611,2020,1,202001,1/4/2020
20200212,8587,2020,2,202002,2/12/2020
20200313,8572,2020,3,202003,3/13/2020
20200407,8138,2020,4,202004,4/7/2020
20200506,8078,2020,5,202005,5/6/2020
20200608,7814,2020,6,202006,6/8/2020
20200707,7526,2020,7,202007,7/7/2020
